iter	RMSE
0	0.5446898953
1	0.5010681515
2	0.4623184652
3	0.4262838577
4	0.3957875425
5	0.3687250158
6	0.3424255402
7	0.3191863216
8	0.2987695513
9	0.2793591137
10	0.260793614
11	0.2437985857
12	0.2290185548
13	0.2150288966
14	0.203113026
15	0.1916186227
16	0.1817876219
17	0.1712485499
18	0.1617223055
19	0.153712572
20	0.1459169184
21	0.1393809117
22	0.1325107041
23	0.1261699749
24	0.1200787596
25	0.1150124336
26	0.1106763856
27	0.106278523
28	0.1020656415
29	0.09841023427
30	0.09528267921
31	0.09188287169
32	0.08872163859
33	0.08567209459
34	0.08317450112
35	0.08091783145
36	0.07868793422
37	0.07692241305
38	0.074919289
39	0.07299149878
40	0.07112252786
41	0.06983382693
42	0.06827713446
43	0.0668402898
44	0.0656761827
45	0.06423753441
46	0.06328626276
47	0.06233352372
48	0.06124358823
49	0.06007315012
50	0.05920139082
51	0.05814823408
52	0.05738169765
53	0.05625287909
54	0.05538976987
55	0.05464560825
56	0.0537511394
57	0.05308736917
58	0.05258063887
59	0.05180603695
60	0.0512241166
61	0.05050494664
62	0.05002906068
63	0.04963059478
64	0.04907143671
65	0.04850284309
66	0.04787135578
67	0.04724299088
68	0.04681834299
69	0.04640987702
70	0.0459524385
71	0.04562707159
72	0.04529602683
73	0.04483466794
74	0.04446736537
75	0.04407712637
76	0.0436841544
77	0.04328027043
78	0.04287369133
79	0.0425146728
80	0.04212873816
81	0.04185477758
82	0.0415505708
83	0.04124911646
84	0.04092758103
85	0.04070473616
86	0.0405827999
87	0.04021001907
88	0.0400221726
89	0.0398677741
90	0.03961097113
91	0.0393668794
92	0.03915809806
93	0.0389195127
94	0.0386717994
95	0.03838489257
96	0.03826937773
97	0.03791655745
98	0.03760975051
99	0.03742855439
100	0.03735395203
101	0.03718106151
102	0.03700557788
103	0.03693038958
104	0.03681768533
105	0.03671710186
106	0.03652860593
107	0.03631731344
108	0.03620731496
109	0.03589208667
110	0.03566703506
111	0.0353972779
112	0.03520015489
113	0.03497725084
114	0.03480436578
115	0.03466110002
116	0.03461424878
117	0.03442944557
118	0.03424602226
119	0.0340344136
120	0.03378606599
121	0.03354450164
122	0.03328970783
123	0.03313649212
124	0.03293209085
125	0.03281509023
126	0.03275122
127	0.0325726851
128	0.03241297916
129	0.03230198348
130	0.0321234315
131	0.03195696753
132	0.03178251273
133	0.03164451598
134	0.03150119402
135	0.03129350687
136	0.03112487508
137	0.03095373812
138	0.03092426013
139	0.03078603811
140	0.03070310833
141	0.03055349331
142	0.03044161313
143	0.03033187146
144	0.03019138583
145	0.03015438496
146	0.03001952001
147	0.02985210126
148	0.02974969235
149	0.02961307997
150	0.02948503385
151	0.02943404256
152	0.02927942738
153	0.02914381667
154	0.02904581751
155	0.02890550442
156	0.0287721209
157	0.0286767942
158	0.02856685397
159	0.02842352654
160	0.02836041405
161	0.02825380222
162	0.02813522722
163	0.02801750999
164	0.02792854743
165	0.02782061043
166	0.02774180213
167	0.02767133842
168	0.02758421089
169	0.02748237893
170	0.02745361484
171	0.02735672392
172	0.02725824407
173	0.02720784415
174	0.02712608037
175	0.02704111913
176	0.02696517298
177	0.02680195181
178	0.02675569625
179	0.02666839306
180	0.02659166085
181	0.02649727995
182	0.02640860471
183	0.02626150197
184	0.02618208993
185	0.02607977222
186	0.02604043619
187	0.02594727292
188	0.02582875571
189	0.02576173123
190	0.02569947352
191	0.02561521891
192	0.02553283119
193	0.02543732082
194	0.02535358669
195	0.02524341211
196	0.02516597136
197	0.02507962566
198	0.02497772042
199	0.02491217348
